userid,text
6509832,"Mumbai all set to witness iconic Dahi Handi celebrations. Take a look at this report; 

Wounded and traumatised: Soldiers bear the brunt of Russia-Ukraine war. Here's a report

#Russia #Ukraine #RussiaUkraineWar

#India #Janmashtami #DahiHandi | @aayeshavarma https://t.co/duzWEjQ3Te #Erdogan, #Zelensky and #AntonioGuterres talk Russia. Watch https://t.co/diJtqthqmO"
14499829,"Dr Ferneza, a pediatric oncologist, was on 24-hour shifts every other day, treating those affected by the shelling &amp; shooting during the war in #Ukraine 🇺🇦.
 
We thank all the health workers who care for the people in conflict zones. #ItTakesAVillage https://t.co/TJyH7lvcYs"
16086855,"NEVER FALTER. NEVER WAVER. Brave defenders of #Ukraine, democracy, autonomy fight on for us ALL. May they recover EVERY INCH of their sovereign territory and live in peace, safety, comfort, and rebuilding VERY SOON. #SlavaUkraini! #HeroiamSlava!💗🇺🇦💗🌻 https://t.co/n40AMCrzZO May #Mariupol and every other village, town and city invaded, occupied, destroyed by soulless invaders rise from the ashes and be rebuilt with love and determination by those who deserve to live in peace, safety, comfort, and a hopeful future! #SlavaUkraini! #HeroiamSlava!💗🇺🇦🌻 https://t.co/BSb6INBrCA"
17710740,"NSA #AjitDoval meets #Russian DPM #DenisManturov, talks about peaceful use of outer space

https://t.co/Mrcvcrzj3c #India may cut its imports from #China by 40%, here's why

https://t.co/RTq9sOejGt"
18071358,"#Putin &amp; #XiJinping to attend #G20Summit in Bali, confirms Indonesian Prez

#G20Indonesia 
https://t.co/X4j88j98Az #WATCH | Who has succeeded Starbucks in Russia?

#Starbucks #Russia 

https://t.co/xfJewmF9IX"
19897138,"#China continues to target #Taiwan. Chinese combat planes encircle the island nation. Japan vows to protect Taiwan. Is China in the realm of air warfare? Watch the video to know more 

#ITVideo #FirstUp https://t.co/nTYaxyzeAx Despite war clouds in border areas around Taiwan, the situation in Taipei's Higher Secondary Girls School seems normal. Watch this ground report 

 #Taipei #Taiwan #China #ReporterDiary (@gauravcsawant) https://t.co/LYTyyRiibD Watch how is the situation outside Taiwanese President Tsai Ing-wen's office in this ground report.

#Taipei #Taiwan #China #ReporterDiary (@gauravcsawant) https://t.co/1NiTjEiszb Amid war clouds, preparations are on for a jazz concert in Taipei's Chiang kai Shek memorial hall. Watch this ground report.

#Taipei #Taiwan #China #ReporterDiary (@gauravcsawant) https://t.co/8NMtw3NXtq Ukrainian universities have approached their Indian medical students urging them to join distance classes from a third country.
#UkraineRussiaWar 

https://t.co/1mMnVSNSd9 China: Robot Expo, Humanoid, Dogs, Covid-19 Testing Robots And Much More

China holds the robot expo and all the inventions are here to make human life easy. From dancing robots to mechanical legs, everything is here. #China #Robot #RobotExpo #NewsMo https://t.co/bdVW9djflt Taiwan's flex in face of China's provocation. 
#IndiaFirst #China #Taiwan | @gauravcsawant https://t.co/ie143TsJxZ Taiwan seeks India's help for inclusion in Interpol
#IndiaFirst #China #Taiwan | @gauravcsawant https://t.co/HEYjDw4iQf The latest aid comes as Russia’s war on Ukraine is about to reach the six-month mark.
#RussiaUkraine
https://t.co/QYL3l2MH0E"
20442930,"Millions of people could be at risk... #UkraineRussiaWar
https://t.co/k6epHz3FYR The cages are already being prepared... #UkraineRussiaWar 
https://t.co/9V4fjPDpXt What a shot that must've been! #UkraineRussiaWar 
https://t.co/64HwxAaoKS"
20751449,"National Security Advisor #AjitDoval met with #Russia ’s Deputy Prime Minister Denis Manturov, who is in charge of Russia’s weapons industry, on Thursday in Moscow, reports @janusmyth 
https://t.co/Hb5hOs8FWJ The residents of two villages in #Russia’s Belgorod region on #Ukraine’s northeastern border were evacuated after a fire at a munitions depot near the village of Timonovo, the region’s governor said.
https://t.co/MLVRSnHZ4K The manufacture of the AK-203 assault rifles by the #Indo-#Russian joint venture at Amethi, #UttarPradesh is set to begin by year-end and the manufacturing equipment required for it will be dispatched from #Russia shortly. | @dperi84 reports. 
https://t.co/er37WRIcRn U.N. chief #AntonioGuterres visited the war-scarred southern #Ukraine's main port of #Odesa on Friday, a day after he said #Turkey and Ukraine hoped to scale up their landmark grain export deal with #Russia.
https://t.co/0ZnJB3hNxA The #US Defense Department on August 19 announced a new $775-million package of defense equipment and ammunition for #Ukraine, including various types of missiles, artillery and mine-clearing systems

https://t.co/MWlz962mMA A key #Russian natural gas pipeline will shut down for three days of maintenance at the end of August, the state-owned energy company #Gazprom announced on August 19

https://t.co/5UIOLU57rr"
23026561,Stop DOING BUSINESS WITH RUSSIA #PULLOUTOFRUSSIA #RussiaIsATerroristState https://t.co/PrvDo5yI5H
27007409,China Communist party’s 20th national congress explained – in 30 seconds | China | The Guardian #china #communist #partys #20th #national #congress #explained #seconds #guardian #19agosto https://t.co/ookWx0oD84 ‘Crazy things are happening’: life in occupied Ukrainian nuclear city  | Ukraine | The Guardian #crazy #things #happening #life #occupied #ukrainian #nuclear #city #ukraine #guardian #19agosto https://t.co/6AVa61V5ny
34245009,"#India is the world's second-biggest #gold consumer after #China

https://t.co/hyYWlXddGA Repopulate Russia: Putin offers 16,000 USD to women who would bare 10 or more children

#Russia #russia #ukraine 
#Putin 

https://t.co/5O4ve9fOKH China backs Jaishankar's remarks on Asian Century, says talks to resolve border standoff 'effective'

#China 
#IndiaChinaBorder 

https://t.co/zUm9N7lgEG"
36327407,"The #Russian military said that it has deployed warplanes armed with state-of-the-art hypersonic missiles to the country's westernmost Baltic region, a move that comes amid soaring tensions with the West over Moscow's action in #Ukraine. https://t.co/BfREd5cWIy #China tested a surface-to-air missile in a high-altitude area of Xinjiang. According to Chinese state media, the missile shot down a target aircraft. The missile test was conducted by PLA's Xinjiang military command which oversees the border with India. https://t.co/6PUKWFX7xs #China issued its first national drought alert of the year after 66 rivers dried up in the country’s southwest.  

https://t.co/rckpIUxke9 National Security Advisor Ajit Doval has conveyed India's concerns over #Russia's 'China tilt' during his visit to Moscow. Doval met the newly appointed Russian Deputy Prime Minister in-charge of weapon industries Denis Manturov after meeting his Russian counterpart. https://t.co/QBfugEKGgV #China's cyberspace watchdog wants to build an ""affectionate"" relationship between internet enterprises and the government, a senior official said.

https://t.co/wtQv2InTjD #China offered a muted reaction to EAM S Jaishankar’s comments that Sino-Indian relations are in an “extremely difficult phase” because of Beijing’s actions on the border with India 

(@spatranobis reports)
https://t.co/2Jfsn2KGHn"
37034483,"#UkraineRussiaWar | United Nations chief warns Russia against cutting nuclear plant from Ukraine grid | reported by news agency AFP #UkraineRussiaWar | Russia's President Vladimir Putin in a call with French counterpart Emmanuel Macron accused Ukraine of attacking the Moscow-occupied Zaporizhzhia nuclear plant, warning of a potential ""catastrophe"": Kremlin | reported by news agency AFP 🔴 #BREAKING | US announces new $775 million arms package for #Ukraine | reported by news agency AFP

#RussiaUkraineWar"
39743812,"#LeadStoryOnET | #Russia’s war has #Europe bracing for a tough winter, but #fuel costs are piling up for us as well https://t.co/CJ157iZy9T https://t.co/bGMVlpN7SV The 'special military operation' in #Ukraine has scaled up interest about its weapon systems in the international market, #Russia has claimed, adding that several joint development projects are being discussed with #India  
https://t.co/EkIOkgnBBG"
40173650,"""#POTUS News: Biden administration readies about $800 mln in additional security aid for #Ukraine -sources #News"": https://t.co/eamJDA0Eh4 ""#POTUS News: Biden admin readies $800 million for #Ukraine amid growing concern of attack on nuclear plant: report #News"": https://t.co/DG7n8uptFV 5 things to know for Aug. 19: #Flooding, FBI search, #Ukraine, #Apple, Mid-air collision - CNN #News https://t.co/8wT4n7Lt4o 
#News #BreakingNews"
44839509,"#OnCNBCTV18 | Expect #margin to rise to 15-17%. Energy prices in #China have risen sharply over the last few years. Non-Ibuprofen contribution will rise to 50% in the next 18 months vs 37% now, says Sanjay Chaturvedi of IOL Chemicals https://t.co/kSXSGtsDLW"
