userid,text
14239265,"If you know my real last name, and my ancestry (Chernobyl, Kyiv), then you’d know this may be a relative of mine.

#StandWithUkraine https://t.co/09KKxOrLoQ"
14876811,"The Russians have started getting their ass kicked in Ukraine. 

Their compatriots, the Republicans are getting their asses handed to them in the US 
@GOP #RussiaUkraine #RepublicanParty"
15640646,The 3 Most Expensive Wars in American History - via @pensignal #ISIS #JerryNelson #War #Afghanistan #Iraq https://t.co/fjyjJqfIe1 The 3 Most Expensive Wars in American History - via @pensignal #ISIS #JerryNelson #War #Afghanistan #Iraq https://t.co/33yOdhJaQY
16845285,"This show how much people care... for some, they care only if is trending... #Ukraine #NATO 
https://t.co/tbdolwPtC3"
17602514,Weakness emboldens #Russia. https://t.co/GOMbflPsjf
18305157,"Attended a Church Fundraiser Dinner/Murder Mystery to support our Youth Ministry and, in turn, Boston Catholic Charities &amp; the #Ukraine️.
Kids did a nice job w/the interactive show, volunteers did a nice job w/dinner, I was glad to meet other parishioners; it was a good night. N.B.  I've been corrected:  The tweet below should have referenced ""#Ukraine"" and not ""The Ukraine.""  #mybad
Could really use that Edit button ... https://t.co/1mjcxToCOP"
18378334,Russian #Ammunition Depot 9 Miles From #Ukraine's Border Catches Fire - Newsweek https://t.co/WPrRiccov2 https://t.co/lgjvX8wyCJ
18525497,"germany trying really hard to be despised even more... #UkraineUnderAttack https://t.co/85OTGt2Zb2 wow, #ukraine continues to really impress... https://t.co/utort9OpIh"
20153987,"@srfnews Yes sure, we know you and will report your nonsense you pronounce. #NAFOfellas all ready for german „Querdenker“ who share #Russian Desinformation. https://t.co/BDPA0R2yEc"
20793232,"@mae_rusia @EmbRusiaMexico @EmbajadaRusaES @EmbRusPan @EmbRusiaEnArgEs @EmbRusChile @EmbRusUruguay @DAVlDqva @RusEmbPeru @Political_Room @EmbRusNicaragua Your war criminals are illegally occupying it, storing military equipment there.
So fascist russian federation has no say here. Ruzzki go home.
#RussiaIsATerroristState"
21017703,"Ask God?....its August 19, 2022 Putin still needs to Repent Now! #UkraineRussianWar  #UkraineRussiaWar #Russian #Russian #godmorningfriday #god"
22850412,"Go Odesa, its your birthday.

#Ukraine 

https://t.co/Gf7GXnjr1R"
22913828,"#russiaisateroriststate #Russia would use #nuclearweapons in ‘emergency circumstances’ https://t.co/MsuHP9vZ9m Fears of a nuclear crisis in #Ukraine have been heightened recently amid a stalling offensive by the #Russians and reports they are using a seized nuclear power plant as a military base.
https://t.co/MsuHP9vZ9m #ZaporizhzhiaNPP #Europe's largest of its kind, was captured by #Russia in March, shortly after #Putin ordered tens of thousands of troops into #Ukraine in what he called a ""special military operation."" https://t.co/MsuHP9vZ9m #russiaisateroriststate 
The head of #Russia's radiological protection forces Lt Gen Igor Kirllov presented a slide which showed that in the event of a nuclear disaster, #Germany, #Poland and #Slovakia would be heavily affected by the radiological fallout.
https://t.co/L6VIbkClru #russiaisateroriststate
south blowing winds: the #radioactiveplume, [could] travel to #Bulgaria, #Romania, and the #blacksea region - in 23 hours it will reach #Turkey.""
https://t.co/L6VIbkClru #Ukraine claims that #Russia is attempting to blame #Kyiv for an incident tomorrow in order to shut down the power plant and transfer power to the #Russian grid - effectively stealing #Europe's largest nuclear plant.
https://t.co/L6VIbkTWj2 #Erdogan sends #Ukraine nuclear warning for TODAY as #Putin gives #ZaporizhzhiaNPP workers ‘unexpected’ leave https://t.co/Rtikb8EUN3 The #UnitedStates is aware of reports that #Russian personnel have abused and coerced members of the #ZaporizhzhiaNPP staff.”
https://t.co/Rtikb8njot"
